Unnamed:_0,Analysis_Date,Last_Day_of_Analyses_of_Week,Macroregion,State,Product,No_of_Gas_Stations_Analyzed,Measurement_Unit,Mean_Price,Std_Dev,Min_Price,Max_Price,Mean_Price_Margin,Coefficient_of_variation,Mean_Dist_Price,Distribution_Std_Dev,Distribution_Min_Price,Distribution_Max_Price,Distribution_Coefficient_of_Variation,Month,Year
12064,2004-05-09,2004-05-15,CENTRO OESTE,DISTRITO FEDERAL,GASOLINA COMUM,128,R$/l,2.029,0.006999999999999999,1.99,2.07,0.318,0.003,1.711,0.02,1.651,1.7427,0.012,5,2004
12065,2004-05-09,2004-05-15,CENTRO OESTE,GOIAS,GASOLINA COMUM,395,R$/l,2.025,0.062,1.85,2.22,0.296,0.031,1.729,0.036,1.6643,1.915,0.021,5,2004
12066,2004-05-09,2004-05-15,CENTRO OESTE,MATO GROSSO,GASOLINA COMUM,194,R$/l,2.358,0.066,2.0,2.54,0.472,0.028,1.886,0.068,1.75,2.0713,0.036,5,2004
12067,2004-05-09,2004-05-15,CENTRO OESTE,MATO GROSSO DO SUL,GASOLINA COMUM,166,R$/l,2.12,0.075,1.97,2.44,0.325,0.035,1.795,0.033,1.70701,1.9703,0.018,5,2004
12068,2004-05-09,2004-05-15,NORDESTE,ALAGOAS,GASOLINA COMUM,106,R$/l,2.09,0.034,2.0,2.1590000000000003,0.35,0.016,1.74,0.042,1.6789,1.918,0.024,5,2004
12069,2004-05-09,2004-05-15,NORDESTE,BAHIA,GASOLINA COMUM,482,R$/l,2.04,0.113,1.78,2.298,0.31,0.055,1.73,0.044,1.6134,1.8717,0.025,5,2004
12070,2004-05-09,2004-05-15,NORDESTE,CEARA,GASOLINA COMUM,321,R$/l,2.148,0.08,1.93,2.34,0.344,0.037000000000000005,1.804,0.034,1.715,1.937,0.019,5,2004
12071,2004-05-09,2004-05-15,NORDESTE,MARANHAO,GASOLINA COMUM,189,R$/l,2.089,0.098,1.7,2.4,0.35,0.047,1.739,0.039,1.614,1.8793,0.022,5,2004
12072,2004-05-09,2004-05-15,NORDESTE,PARAIBA,GASOLINA COMUM,146,R$/l,1.989,0.073,1.69,2.12,0.322,0.037000000000000005,1.667,0.03,1.5855,1.7357,0.018,5,2004
12073,2004-05-09,2004-05-15,NORDESTE,PERNAMBUCO,GASOLINA COMUM,478,R$/l,2.008,0.068,1.83,2.3,0.282,0.034,1.726,0.044,1.66,2.0351,0.025,5,2004
12074,2004-05-09,2004-05-15,NORDESTE,PIAUI,GASOLINA COMUM,97,R$/l,2.099,0.07400000000000001,1.98,2.22,0.36,0.035,1.739,0.031,1.67,1.815,0.018,5,2004
12075,2004-05-09,2004-05-15,NORDESTE,RIO GRANDE DO NORTE,GASOLINA COMUM,145,R$/l,1.98,0.042,1.82,2.15,0.265,0.021,1.715,0.028,1.6577,1.7979,0.016,5,2004
12076,2004-05-09,2004-05-15,NORDESTE,SERGIPE,GASOLINA COMUM,67,R$/l,1.968,0.045,1.88,2.082,0.234,0.023,1.734,0.029,1.6895,1.867,0.017,5,2004
12077,2004-05-09,2004-05-15,NORTE,ACRE,GASOLINA COMUM,48,R$/l,2.388,0.166,1.85,2.85,0.545,0.07,1.843,0.035,1.765,1.8799,0.019,5,2004
12078,2004-05-09,2004-05-15,NORTE,AMAPA,GASOLINA COMUM,45,R$/l,2.175,0.05,2.08,2.31,0.29,0.023,1.885,0.015,1.8632,1.9388,0.008,5,2004
12079,2004-05-09,2004-05-15,NORTE,AMAZONAS,GASOLINA COMUM,129,R$/l,2.044,0.098,1.77,2.4,0.338,0.048,1.706,0.036,1.61,1.9,0.021,5,2004
12080,2004-05-09,2004-05-15,NORTE,PARA,GASOLINA COMUM,207,R$/l,2.332,0.136,1.99,2.62,0.397,0.058,1.935,0.049,1.7796,2.0879,0.025,5,2004
12081,2004-05-09,2004-05-15,NORTE,RONDONIA,GASOLINA COMUM,106,R$/l,2.336,0.114,2.12,2.78,0.53,0.049,1.806,0.038,1.699,1.91,0.021,5,2004
12082,2004-05-09,2004-05-15,NORTE,RORAIMA,GASOLINA COMUM,51,R$/l,1.995,0.029,1.9,2.04,0.344,0.015,1.651,0.051,1.465,1.708,0.031,5,2004
12083,2004-05-09,2004-05-15,NORTE,TOCANTINS,GASOLINA COMUM,78,R$/l,2.089,0.115,1.75,2.29,0.365,0.055,1.724,0.05,1.627,1.8657,0.029,5,2004
12084,2004-05-09,2004-05-15,SUDESTE,ESPIRITO SANTO,GASOLINA COMUM,314,R$/l,2.026,0.073,1.79,2.167,0.287,0.036000000000000004,1.739,0.042,1.61,1.96,0.024,5,2004
12085,2004-05-09,2004-05-15,SUDESTE,MINAS GERAIS,GASOLINA COMUM,1283,R$/l,1.981,0.102,1.75,2.274,0.283,0.051,1.698,0.044,1.495,1.92,0.026,5,2004
12086,2004-05-09,2004-05-15,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,1071,R$/l,2.045,0.109,1.7,2.599,0.254,0.053,1.791,0.047,1.6363,1.9594,0.026,5,2004
12087,2004-05-09,2004-05-15,SUDESTE,SAO PAULO,GASOLINA COMUM,4107,R$/l,1.891,0.101,1.57,2.399,0.235,0.053,1.656,0.064,1.38,1.944,0.039,5,2004
12088,2004-05-09,2004-05-15,SUL,PARANA,GASOLINA COMUM,767,R$/l,1.966,0.07400000000000001,1.791,2.5,0.238,0.038,1.728,0.04,1.5101,1.9589,0.023,5,2004
12089,2004-05-09,2004-05-15,SUL,RIO GRANDE DO SUL,GASOLINA COMUM,809,R$/l,2.135,0.116,1.858,2.349,0.342,0.054000000000000006,1.793,0.052,1.69,2.188,0.029,5,2004
